职位名称,关键词,薪水,城市,公司名称,技能要求,工作经验,招聘类型,产业链环节,获取时间,职位详情
大数据开发工程师（电商）,"数据开发,数据分析",7-10K,南京,北京明略软件系统有限公司,"Hive,Spark,Flink,计算机相关专业,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"【工作职责】
1、App后台日志数据/其他业务部门数据实时接入；
2、实时或者离线大数据数据应用场景需求分析及开发；
3、日常App日志数据指标的统计；
【任职资格】
1、计算机相关专业，本科及以上学历 23届应届生；
2、有sql编程能力，了解java，scala语言优先；
3、了解hadoop、hive、spark、doris、flink其中至少两种大数据组件；
4、语言表达能力强，有较强的学习能力和理解能力；
【keynote】
1、提供实习岗位，表现优秀有转正机会；
2、千万级数据及百万级日活的C端电商场景；
3、专人带教，一对一培养方案制定；"
大数据开发实施工程师,"数据开发,数据分析",7-11K,上海,上海芸璟信息科技有限公司,"SQL,Java",应届生,校招,数据中心其他,2023/1/6,"培训后，会参与下面一项或多项工作
1. 参与客户需求调研和需求分析
2. 使用ETL工具抽取和整合企业内外部数据
3. 基于客户分析需求构建数据仓库
4. 基于分析主题建立数据模型, 使用可视化展示工具或平台完成数据分析结果的展示。
5. 基于客户需求和数据情况构建分析模型
需要具备的知识或技能
1. 掌握SQL的基础知识
2. 了解JAVA
3. 英语四级以上，有基本的英语读写能力
4. 善于沟通和团队协作
5. 熟悉BI产品(FineBI/Fine Report, PowerBI, 观远BI, Tableau等）或使用经验优先"
开发工程师 （前端/大数据）,"数据开发,数据分析",10-11K,北京,上海数策软件股份有限公司,"Java,SQL",应届生,校招,数据中心其他,2023/1/6,"1. 根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。
2. 可自行完成程序单体测试，解决相关缺陷。
3. 维护软件使之保持可用性和稳定性。
要求
1、熟悉Java Spring Boot/Spring Cloud，SQL或者前端框架等技术，有较好编程基础；
2、较强的逻辑能力及快速学习能力，对学习新技术保持热情；
3、985/计算机相关专业优先"
校招-数据应用支持-广州,"数据开发,数据分析",9-14K,广州,深圳联友科技有限公司广州分公司,数据运营,应届生,校招,数据中心其他,2023/1/6,"工作职责:
1、负责数据业务稳定运营
2、负责数据运营平台建设、拔插式分析模型设计、开发
3、负责大数据技术团队建议和技术支持
任职资格:
1、全日制本科及以上学历
2、有数据库语言基础，熟练使用HSQL/SQL查询语言
3、了解至少一个数据分析语言、可视化工具和分析工具，如python、Tableau、PowerBI、SPSS
4、了解大数据相关组件和技术，如Kafka、hive、flink、sqoop、azkaban
5、具有良好的沟通协调能力"
【校招】数据研发(J10854),"数据开发,数据分析",15-30K,成都,斑马网络技术有限公司,"SQL,Java,Python,数学/统计相关专业,计算机相关专业,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"工作职责:
1. 参与或负责PB级别数仓规划、数据研发规范、数据质量及稳定性保障建设；
2. 参与或负责onedata体系中数据指标的管理（确定业务口径/技术口径）和数据模型的设计（按分层建模的方式把数据更加科学的组织存储）；
3. 负责业务需求的需求理解、数据探查和分析，进行数据产品的数据研发，发掘数据商业价值，以数据驱动业务不断发展；
4. 负责基于flink/spark/hive/mapreduce/odps大数据技术的数据仓库架构设计、ETL开发、数据验证、发布部署、运维等，构建易维护、可扩展的数据仓库公共模型，数据集市等，支持BI分析、数据挖掘和上层应用；
5. 负责数据仓库ETL流程的优化及解决ETL相关技术问题。
任职资格:
1. 教育背景：211/985本科优先
2. 专业：计算机、数学、统计、数据科学等专业优先
3. 优先：以下条件优先
    a. 在校期间数学建模竞赛、电子设计竞赛、“挑战杯”等获奖者
    b. 熟悉数据仓库建设理论，熟悉数据分层/分域/建模，了解血缘分析，数据资产管理
    c. 了解或参与过数据处理、分析、挖掘等相关项目
4. 技术：
    a. 熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作
    b. 对Hadoop、Hive、Hbase等分布式平台有一定理解。"
大数据开发工程师,"数据开发,数据分析",7-12K,徐州,徐工汉云技术股份有限公司,"Java,Python,计算机相关专业,数学/统计相关专业",应届生,校招,数据中心其他,2023/1/6,"职位描述
1、基于hadoop生态的大数据存储平台搭建和部署；
2、承担数据抽取、清洗、转化等数据处理程序开发；
3、商用平台指标数据挖掘；
4、数据仓库的设计，开发，维护；
5、完成日常数据分析查询需求。
任职要求
1、熟悉Hadoop技术体系，掌握以下至少两项技能（多者加分）：MapReduce、Hbase／Cassandra、HIVE、Zookeeper、Pig、Sqoop、Flume、Ambari;
2、掌握至少一门主流语言，包括但不限于JAVA、C＃，
3、掌握至少一门脚本语言，包括但不限于Python、Perl、Linux/Unix Shell。"
大数据开发工程师,"数据开发,数据分析",5-10K,济南,金田产业发展（山东）集团有限公司,"大数据,人工智能",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、进行模式识别、图像处理、人工智能（机器学习、神经网络、深度学习）等方面的算法学习及研究工作；
2、负责提供机器学习的相关支持、负责识别算法的训练、优化；
3、负责组织制定相关的技术方案编写 、 配合完成与用户的技术交流、技术方案宣讲等。
任职要求：
1、人工智能、大数据、计算机等相关专业，本科及以上学历，研究生优先考虑；
2、有相关经验者优先。"
数据开发工程师-校招-北京-00750,"数据开发,数据分析",10-15K,北京,北京巴别时代科技股份有限公司,"Shell,Flink,Hadoop",应届生,校招,数据中心其他,2023/1/6,"岗位职责
1、负责公司大数据开发、数仓建设维护、数据平台搭建工作
2、跟进数据团队相关项目进展，与研发、测试和运营团队密切配合，推进方案实施与落地。
3、配合团队人员进行相关技术调研与测试工作。
任职要求
1、本科或以上学历，计算机、信息管理、数学、统计学等相关专业；
2、一定的数据库设计开发经验，熟练使用SQL，能够使用SQL进行相关业务分析。
3、熟悉⾯向数据仓库和数据集市的数据建模技术和⼯具。
4、了解常⽤的⼤数据平台相关组件，例如：Hadoop、Hive、Kafka、Spark、Flink等。
5、具有较好的沟通能力、协作能力和学习能力，能承担一定的工作压力。"
数据治理工程师（应届生）,"数据开发,数据分析",8-10K,上海,上海化工宝数字科技有限公司,"计算机相关专业,数学/统计相关专业,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"1、参与建设和完善数据治理体系，制定数据治理工作计划，负责数据治理相关需求的实现与落地；
2、负责元数据、数据质量、数据标准等数据治理相关领域的管理和协调工作；
3、负责数据治理相关工具的建设、管理和维护；
4、利用数据分析等各种技术和管理手段，优化和提升数据治理水平。"
阿里云安全-大数据研发,"数据开发,数据分析",20-35K,北京,阿里巴巴（北京）软件服务有限公司,"大数据,云计算,网络安全,数据架构师,分布式技术",应届生,校招,数据中心其他,2023/1/6,"阿里云云安全有业内最专业的安全技术，在最近几年的安全演练(你懂的)中屡次取得第一的好成绩，
在Gartner最新排名中,11项安全能力被评估为最高水平（High），超过亚马逊，仅次于微软。
我们诚邀优秀的你加入，一起创造世界第一的云安全！
职位描述：
1. 工作职责，负责阿里云安全产品的架构设计和研发
2. 极具挑战的场景，每天万亿数据量，对并发编程，复杂场景设计有巨大挑战。
3. 即肩负着整个阿里经济体的安全，又要同时输出给公有云，私有云和线下版。
职位要求：
1.计算机相关专业，网络、数据库、数据结构与算法基础扎实；
2.扎实的C、C++、python、Java(任一)编程基础，熟悉各种设计模式；
3.熟悉大规模分布式系统的负载均衡、缓存、网络存储、网络安全、数据库高可用设计及性能评估机制优先；
4.具备良好的系统分析能力，良好的抽象思维和逻辑思维能力，独立分析问题解决问题的能力；
5.可承受较大压力，有责任感，较强的沟通协调能力，具有团队合作精神；
（1）通过“阿里巴巴编码规范” 认证的同学优先录取，认证地址：https://edu.aliyun.com/certification/cldt02。
（2）有网络安全知识背景，有大数据技术背景的优先录取。
期待有意向的同学可以发简历到 *****-inc.com 。"
大数据处理开发工程师,"数据开发,数据分析",11-20K,北京,北京隆羿行信息科技有限公司,"Python,HTML,网络爬虫技术,NoSQL,Redis,MongoDB",应届生,校招,数据中心其他,2023/1/6,"一、技能要求
1 精通python程序设计，熟悉flask,django等至少一种框架。
2 熟悉linux操作系统，熟练使用nginx,git,redis,docker等与开发相关的依赖工具。
3 熟悉数据库理论与操作，熟悉mongodb优先。
4 熟悉搜索引擎的原理与使用，熟悉elasticsearch优先。
5 掌握http协议，熟悉html,dom,xpath正则表达式等常见的数据处理技术。
6 有实际爬虫开发实例者优先录用
二、任职要求
1 应届应聘者，要求第一学历为国内985或211高校计算机、通信、电子、信息、数学专业统招全日制本科或硕士毕业生。
2 非应届应聘者，要求1-3年工作经验，统招全日制本科以上学历，国内985或211高校计算机、通信、电子专业本科或硕士生优先。
3 愿意扎实深入业务，深入一线，有较强的沟通协调能力，勇于承担压力和责任，较好的团队合作精神。"
大数据工程师（23届校招）,"数据开发,数据分析",8-13K,苏州,苏州工业园区测绘地理信息有限公司,大数据开发经验,应届生,校招,数据中心其他,2023/1/6,"1、后端开发；
2、大数据分析；
3、算法开发。
要求：
1、计算机/软件工程/大数据专业，211/985/双一流院校优先
2、熟悉GIS原理
3、熟悉会使用Java、SQL等开发技术
4、熟悉Linux、容器原理"
【校招】软件开发--大数据开发,"数据开发,数据分析",5-8K,烟台,烟台创迹软件有限公司,计算机相关专业,应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1，参与需求调研，负责开展专项业务分析，数据开发工作；
2，负责数据开发工作，进行报表设计和实现；
3，负责相关数据库设计的编写等工作；
4，参与项目的实施，负责数据结果测试反馈及优化；
5，参与建立采集,转换,整合数据，与展现开发报表分析的数据设计流程，并应用于实际操作中。
任职要求：
1.本科及以上学历,计算机、软件工程、信息工程及相关专业优先；
2.有扎实的计算机理论基础；熟练Java、Python服务端编程，有良好的编码习惯；
3.深入理解MapReduce，熟练使用Flink、Hadoop、Spark，并阅读部分源码；熟练使用HDFS、Hbase、Presto，Kafka、ElasticSearch、Solr；深入理解Lucene，ElasticSearch，Solr等；
4.有GCP，阿里云实践经验者优先。"
大数据开发工程师,"数据开发,数据分析",5-10K,烟台,烟台海颐软件股份有限公司,"Python,Java,Shell,Scala,Spark,Hadoop,Kafka,Storm",应届生,校招,数据中心其他,2023/1/6,"1）熟悉Scala、Java或Python开发（至少其一），有分布式应用系统设计经验，有大数据量，高并发处理经验；熟悉分布式工作原理；
2）熟练掌握Oracle、MySql等常用关系数据库，以及MongoDB、Redis等NoSQL数据库，熟悉构化和非结构化数据建模，具有丰富的数据库设计经验；
3）熟悉大数据处理相关技术，包括但不限于Hadoop、Spark、Zookeeper、HBase、Hive、Kudu、Flume、Kafka、Sqoop、Kylin等，熟悉CDH、HDP大数据平台；
4）熟悉流式处理技术：有Storm，Flink、Spark Streaming至少一种实现项目经验；
5）熟练掌握常用Linux命令，具备shell编程能力。"
大数据开发工程师,"数据开发,数据分析",18-28K,上海,携程计算机技术（上海）有限公司,"Hive,数据处理,数据仓库",应届生,校招,数据中心其他,2023/1/6,"搭建携程风控的数据仓库
搭建信用风控和支付风控所需要的特征集市
处理所有携程数据，包括订单数据，行为数据，设备数据
对外提供数据服务"
数据开发工程师（2023届校招）,"数据开发,数据分析",2-4K,福州,长威信息科技发展股份有限公司,"Java,Hive,Flink,计算机相关专业,大数据开发经验,ETL开发经验",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、负责数据仓库全链路的数据采集、清洗、汇总等工作；
2、负责数据准确性与实时性的设计与保障工作；
3、负责数据分析需求的模型开发和实现；
4、据数据分析人员设计，利用可视化工具完成数据报表的制作。
岗位要求：
1、大学本科及以上学历，应用数学、计算机等相关专业；
2、具备扎实的计算机科学功底、编程基础和数据结构算法基础；
3、掌握主流大数据和流式数据处理技术，如Flink、Spark、ES、HBase等；
4、了解数据仓库模型及思想、维度建模思想；
5、熟悉SQL语言，具备存储过程与ETL的开发能力，能熟练进行SQL查询优化；
6、掌握Java/Scala/Python等至少一种开发语言；
7、好奇心强，有钻研精神。具有良好服务意识，抗压力和沟通能力强。"
大数据开发工程师（校招岗位）,"数据开发,数据分析",13-23K,北京,北京慕华信息科技有限公司,"Python,Shell,Hive",应届生,校招,数据中心其他,2023/1/6,"【公司简介】
    学堂在线是清华大学于2013年10月10日发起成立的中国首个慕课平台，汇聚全球名校名师名课，服务全球超1亿学习者。学堂在线运行了来自清华大学、北京大学、西安交通大学、中国科技大学、康奈尔大学、多伦多大学等国内外高校的超过5600门慕课，让象牙塔里的知识普惠大众，为每一个学习者打造自己的终身学习大学。
    学堂在线致力于开发基于人工智能和大数据的教育技术，为高校提供数字化转型解决方案，提高人才培养质量，推动教育变革与创新。2016年4月发布新型智慧教学工具“雨课堂”，累计服务8000余万师生迈入智慧教学时代。2020年4月发布学堂在线国际版，成为首个入选的教育部首批高等学校在线教学国际平台。2020年12月成为世界慕课联盟创始成员，将中国慕课建设及在线教育经验带给全世界。2022年9月3日学堂在线平台全球学习者人数累计超过1亿人。
【招聘岗位】
前端工程师、后端工程师、大数据工程师、运维开发工程师
【你将获得】
在这里，你可以坐拥宇宙中心五道口的千平办公区。北接最高学府清华园，西望西山颐和园，享受宽敞明亮、冬暖夏凉的办公生活。
在这里，你可以近水楼台先得月，一边工作一边学习。学堂在线平台上多门课程足够助你上知天文地理，下知风水农学，文能金融法学，武能运动健身。
在这里，你会有专属的技术导师为你辅导，有各种技术专题分享为你助力。
在这里，每年有2次晋升机会，技术与管理双通道发展，机会无限。
在这里，我们有薪酬激励、带薪年假、节日福利、免费早餐、午餐补贴。
再有各种兴趣小组俱乐部，篮球、足球、羽毛球、跑团、烧脑桌游，总有一款吸引你！
还有为新人安排的CTO午餐会，边吃饭边交流，精神食粮与午餐食粮两手抓，有什么好奇的、想问的、想建议的都可以聊。
迈出象牙塔的你，即将从校园进入社会，也许我们就是你职业生涯中的第一枚彩蛋，带着理想和我们一起征战未来吧！
【招聘对象】
2023年应届毕业生，在京985/211院校优先考虑，本研均可，期待你具有超强的学习能力+强烈的事业心。
【工作地点】
北京市海淀区清华科技园科建大厦
【应聘流程】
投递简历-初试-复试-offer"
大数据开发工程师(J10216),"数据开发,数据分析",16-22K,北京,北京快乐茄信息技术有限公司,大数据开发经验,应届生,校招,数据中心其他,2023/1/6,"工作职责:
1. 参与设计、研发一站式大数据平台，降低数据技术使用门槛，提高数据生产效率，推进数据平民化；
2. 从事大数据OLAP引擎、实时计算、调度、存储等的研究和开发；
3. 构建实时与离线存储、pipeline、计算引擎框架、流程和功能。
任职资格:
1. 2023届统招本科及以上学历，毕业时间满足于2022年9月1日-2023年8月31日之间；
2. 对大数据方向感兴趣，包括不限于 Hive，Iceberg，Spark，Kubernetes，Presto，Clickhouse，Flink 等；
3. 有 Geek 精神，对技术有追求；有开源经验者优先；
4. 熟悉 Python/Java/Scala/Go 至少一种编程语言；
5. 具备快速学习能力，乐于挑战，对新技术和解决业务难题有热情。"
数据库开发工程师 (MJ000112),"数据开发,数据分析",6-10K,郑州,拓维信息系统股份有限公司,计算机相关专业,应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、主要职责是数据开发，根据业务部门需求进行数据分析和报表开发，保证数据质量；
2、负责数据模型及业务模型的设计和开发；
3、负责数据库性能调优，保障开发质量和效率。
任职资格：
1、全日制统招本科及以上学历，计算机软件及相关专业
2、熟悉SQL语言，熟练使用Oracle、Vertica、Hive、Mysql等数据库开发；
3、对数据感兴趣，学习能力强;
4、具有良好的表达和沟通能力，逻辑思维能力强，善于思考，能独立分析和解决问题；具有良好团队合作意识；
5、有相关实习工作经验或者校内项目经验的优先录用;
6、可以接受大四实习的优先录用。"
数据开发工程师 (MJ000894),"数据开发,数据分析",18-20K,北京,北京厨芯科技有限公司,SQL,应届生,校招,数据中心其他,2023/1/6,"你是餐厅商户数字化基建背后的英雄，更是公司业务信息支持的保障！
	来这里你需要做些什么？
你可以参与设计开发高性能、高稳定、高体验的商家后台。
也可以通过互联网技术、数据解决方案让设备变成智能武器服务商家！
这是一个挑战，更是一个机会！
挑战是你可以参与构建复杂系统，千万台设备的协同运作，上亿条的数据回传，可能都有你贡献的一份力量。
机会是你有机会把握行业发展动向和技术变革方向，结合云计算，ai，大数据等新机技术的加持，成为行业大牛！
	在这里你可以得到什么？
在这里你收获的不止是一份薪资，一份经验，而是一个实现自我机会！
或许因为你的加入，餐厅后厨能够实现“AI隐形工程师洗碗、AI厨师在做菜”
团队目前已通过互联网技术实现“首个设备远程诊断故障、首份行业设备自动体检和数字报告、首个数字化管理工具、行业首个餐厅洗碗大数据库”
	那么你需要具备哪些能力？
如果你是计算机相关专业，曾经也有过改变这个世界的冲动，那么快来投递吧！
 
【岗位职责】
1. 参与公司业务数仓模型的设计和落地实施。
2. 负责业务方应用层数据的搭建和开发。
3. 推动改进数据生产应用各环节上的问题。
【任职要求】
1. 有良好的SQL功底和性能调优的能力。
2. 熟悉大数据技术栈，具备一定的如Hive、Spark等工具的开发经验。
3. 具备较好沟通协调能力。"
BI\大数据技术开发-应届生-全职,"数据开发,数据分析",6-10K,上海,上海启高信息科技有限公司,"SQL,Hadoop,Spark,HIVE,Kettle,DataX,大数据,BI",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1.参与项目中的需求沟通，可视化分析，前端以及分析维度设计；
2.参与BI及大数据项目的实施工作；
3.参与系统需求讨论，进行系统的概要设计及详细设计；
4.负责项目中的数据仓库开发、报表开发、仪表盘开发。
任职要求:
1. 统招本科以上学历，计算机、信息管理、数学、统计学相关专业；
2.熟悉数据仓库模型设计和体系架构；
3.有ETL相关开发经验,熟悉KETTLE、DATASTAGE、Control-M、DS等ETL工具；
4. 对数据有较强的敏感性，熟悉国内外快速数据可视化BI工具，如：Tableau\Qlikview\Power BI\永洪\观远\帆软\BO等产品；
5.有海量数据处理和并行计算开发经验者，熟悉 Hadoop生态（Hive数仓、Spark+Flink流计算、Kafka等重点关注）；
6. 较强的沟通能力、学习能力、逻辑思维、独立解决问题能力；
7.能够接受全国各地出差。"
大数据开发工程师（武汉）(J13051),"数据开发,数据分析",8-10K,武汉,朗新科技集团股份有限公司,"Java,Python,Kettle,Informatica,HIVE,Hadoop,Hbase,Oozie",应届生,校招,数据中心其他,2023/1/6,"工作职责:
岗位描述Job Description
如果，你想参与朗新大数据相关产品的研发，包括时序存储、流计算、离线分析等；
如果，你想利用统计，机器学习，深度学习等算法解决问题，将人工智能算法应用到各种应用场景；
如果，你想参与朗新大数据产品的研发，发挥你的商业sense，通过数据分析和算法来洞察数据背后的机会，来探索大数据商业化；
如果，你想接触大数据处理与应用的技术和平台，获得大数据各类大牛的指导。
任职资格:
岗位要求
或许，你是2022届本/硕/博毕业生，来自计算机、软件、信息、数学、统计等相关专业；
或许，你熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作；
或许，你了解Kettle、DataStage、Informatica等ETL工具以及LTS/Oozie任务调度工具，具备海量数据加工处理(ETL)相关经验；
或许，你具备扎实的专业基础，良好的沟通能力和团队合作，主动积极，乐于面对挑战；
或许，你有很强的数据分析能力与敏感度，能快速从给定的数据中找出规律；
或许，你对Hadoop、Hive、Hbase等分布式平台有一定的理解更好；
那么请加入朗新，成为大数据开发工程师吧，这里就是你的舞台。
职位招聘1人"
大数据开发工程师-直播（2023校招）,"数据开发,数据分析",20-28K,北京,北京抖音信息服务有限公司,"Hive,Spark,Kafka,计算机相关专业,数学/统计相关专业,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"团队介绍：直播团队负责为字节跳动旗下所有国内App提供直播服务，包括但不限于抖音、抖音火山版、今日头条、西瓜视频、皮皮虾、懂车帝等。团队负责直播平台技术和直播业务研发，打造灵活稳定的直播服务平台，为用户提供优质直播体验，支持电商、本地生活、游戏、节目、多人互动等不同类型的业务场景。直播业务发展迅猛，处于行业头部地位，业务发展空间巨大。现在加入我们，和优秀的人一起做有挑战的事，你的技术与创意将影响亿级用户，激发创意和丰富生活。
1、参与研发大数据处理框架，建立高效、稳定的数据链路，开发数据平台和数据产品；
2、承接直播业务需求，通过数据开发、分析、挖掘等技术，制定数据解决方案；
3、负责直播业务离线数据和实时数据的研发，保障数据的及时性、准确性和一致性。
职位要求
1、2023届计算机相关专业，有良好的数据结构和算法基础；
2、熟练掌握 Java，C/C++、Go 等语言的一种；
3、熟悉至少两种大数据开源框架，如：Hadoop/Spark/Hive/Flink/Kafka；
4、有大数据开发经验、机器学习经验者优先。"
*AI平台数据开发（大数据方向）,"数据开发,数据分析",面议,南京,中国第一汽车股份有限公司,"Java,Python",应届生,校招,数据中心其他,2023/1/6,"工作职责
1、负责数据中台搭建和完善，基础功能及服务开发、优化；
2、负责数据仓库的离线加实时任务开发，包括ETL过程开发；
3、负责新技术的预研、跟踪、开发。
任职要求
能力要求：
1、熟悉linux,熟悉Spark\hive\kafka等大数据组件优先；
2、熟悉SQL语言，熟悉linux,熟悉Spark\hive\kafka等大数据组件优先；
3、掌握Java、scala、python一种以上语言，有良好的编程习惯。
基本条件：
1、国家统招本科及以上学历的应届毕业生；
2、专业对口，在校期间表现良好，无处分；
3、按规定学制如期取得毕业证和学位证书，且英语通过国家四级；
4、成绩优秀，身体健康。"
大数据开发工程师（23届）,"数据开发,数据分析",7-12K,成都,神州数码信息服务股份有限公司,"Spark,ETL开发经验",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
 1、负责大数据平台的数据开发工作和数据库管理相关工作
 2、参与ETL规则设计、开发
 3、参与需求调研和需求分析
技术要求：
 1、本科及以上学历，计算机相关专业优先
 2、理解大数据处理或ETL相关技术和实现方法
 3、熟悉至少一种常用的数据库语言（Oracle/Mysql/PG/Hive/Spark SQL/Greenplum等）
 4、熟悉Linux操作系统，熟练掌握至少一种常用脚本语言（Shell/Perl/Python）
 5、具备很强的责任心、良好的沟通能力、积极的工作态度和团队合作意识"
数据开实习工程师-浙江湖州,"数据开发,数据分析",3-10K,湖州,成都微银合创科技有限公司,"Java,Shell,Hadoop,Flink",应届生,校招,数据中心其他,2023/1/6,"1、基于公司大数据平台，在指导下参与数仓、BI项目、ETL、表报等开发工作
2、熟练掌握sql语法，熟悉oracle\PostgreSQL\mysql等数据库
3、熟悉Linux及常用shell操作，有在Linux系统下安装使用Hadoop生态组件经验，了解Flink优先
4、有一定编程基础，熟悉python/java/c等编程语言
5、具备良好的沟通能力、理解能力、学习能力
6、计算机/软件工程/软件开发/数据与大数据开发等专业
周末双休，早九晚六，节假日福利，员工体检，定期调薪，年终奖，员工宿舍，食堂餐补
职位招聘3-5人"
大数据开发工程师（2023届）,"数据开发,数据分析",8-13K,广州,杰创智能科技股份有限公司,"计算机相关专业,数学/统计相关专业,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、负责数据采集并对相应的数据进行ETL流程设计与开发，负责大数据建模、数据仓库构建等工作；
2、依据数据治理规范，对相应的数据需求制定解决方案并实施落地；
3、负责协调数据质量相关单位，制定数据质量评审机制，检测并确保数据治理各环节顺畅运作；
4、完成上级安排的其他工作任务。
任职要求：
1、本科及以上学历，大数据、计算机、软件、网络安全等相关专业；
2、熟悉JAVA、Scala、Python中的至少一种，了解常见的数据结构、分析算法；
3、了解大数据开发框架及技术框架或实现原理，如Hadoop、Spark、Hbase、flume、Flink、Spark Streaming、Kafka等；
4、积极进取，心态开放，易于接收和探索新技术、新业务，具备良好的沟通能力和抗压能力。"
大数据开发工程师-23届校招,"数据开发,数据分析",15-30K,北京,北京奇艺世纪科技有限公司,"大数据开发经验,计算机相关专业",应届生,校招,数据中心其他,2023/1/6,"用数据做动力为实施内容运营赋能，
用数据做向导去衡量视频内容质量。
在桃厂，我们拥有近EB级数据、超百万核计算能力、业界前沿的服务规模。
运用大数据及AI技术对爱奇艺内容全方位进行数据监控和预测，确保影片收益最大化。
分析视频内容、互动数据衡量视频内容质量，树立行业风向标。
加入桃厂，你可以：
- 参与爱奇艺大数据体系建设，通过数据化、智能化方式打造更好的产品，驱动公司业务增长
- 通过建设EB级数据湖、超百万核计算能力、数据中台等服务，解决海量数据场景下实时高效分析数据的需求
- 了解大数据生态，熟练掌握大数据技术栈，成为大数据领域的技术专家、架构师
希望你是这样的桃：
必备项
- 精通HiveSQL，能够通过HiveSQL优雅实现业务需求；
- 熟悉Java和Scala语言，具备扎实的编码能力、工程实践能力和troubleshooting能力；
- 硬件、网络、操作系统、数据结构、算法、数据库等基础知识扎实，有很强的学习能力；
- 有责任心，做事踏实，对数据有较高敏感度，具有良好的团队合作精神和沟通能力；
- 23届本科及以上，计算机相关专业。
加分项
- 了解大数据生态，熟悉Hadoop、Hive、Spark、Flink、Kafka、ClickHouse、Trino等常用的大数据技术栈，有大数据领域实践经验；
- 有大数据建模理论基础，掌握至少2种，创建数据模型的方法论；
- 熟练掌握关系型数据库技术；
- 热衷开源技术，有开源社区贡献，请在简历里说明。"
（校招实习）大数据开发工程师,"数据开发,数据分析",6-11K,大连,华录智达科技股份有限公司,"Hive,Spark,大数据开发经验,计算机相关专业,Hadoop",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、参与实时大数据平台的数据存储、计算、监控、分析、机器学习等模块开发，打造稳定可靠的平台化、可视化、自动化的交互式大数据平台；
2、负责基于大数据平台的应用设计、开发和维护及性能提升；
3、规划设计大数据产品，包括实时计算平台、数据监控平台、机器学习平台、数据开发平台等。
任职要求：
1、统招全日制一本及以上学历，计算机、软件工程等相关专业。
2、熟悉Hadoop生态圈技术体系，对离线计算、内存计算和流式计算均有理解，如Hadoop、Hive、Spark、Flink、Impala等；
3、了解Hive、HBase仓库设计，理解MR运行原理和机制；
4、逻辑思维能力强，做事有条理，责任感强，工作积极主动，执行力强，有良好的团队合作能力。有大数据应用系统开发经验者优先考虑。"
大数据开发工程师（应届）(J10020),"数据开发,数据分析",11-15K,武汉,江苏微盛网络科技有限公司,"Java,大数据开发经验",应届生,校招,数据中心其他,2023/1/6,"工作职责:
1、协助架构师从事基于Hadoop生态的大数据系统的开发工作，包括数据高效处理、交互式查询、流式数据处理等。
任职资格:
1、2023届统招211本科毕业，计算机、软件工程等相关专业；
2、了解HDFS、MapReduce、spark、kafka、hive、hbase、kylin、ElasticSearch等技术，了解java、scala等开发语言
3、学习与逻辑思维能力强，对数据敏感，能深入理解复杂的业务逻辑；
4、有数据仓库、知识图谱、用户画像等产品开发经验者优先；
5、加分项：在校成绩优异，有过互联网公司大数据开发实习经验、熟悉至少一门计算机语言，熟悉java、python、nodejs语言优先。"
2023届校招-大数据开发(J10280),"数据开发,数据分析",10-15K,广州,卓望数码技术（深圳）有限公司,计算机相关专业,应届生,校招,数据中心其他,2023/1/6,"工作职责:
IT互联网国企，七险二金(公积金按最高12%)、年终奖、绩效奖、餐补(660元)、生活补贴(800元)、话费补贴(300元)、千元过节费、年度体检、周末双休等福利！
1. 熟悉软件开发的工作流程、学习和掌握软件开发工具和开发技能；
2. 根据软件需求和软件设计，承担代码编写，测试文档编写工作。
任职资格:
1、本科及以上，软件工程、人工智能、通信工程、信息系统、信息安全、工业设计、计算机等相
关专；
2、对数据处理、数据建模、数据分析等有深刻认识和实战经验；
3、熟悉SQL语言，熟悉shell, python等脚本语言；
4、有hadoop、spark、flink等大数据平台的基础经验；
5、有数据仓库建设、商业数据分析、增长项目基础经验。
卓望数码，2000年成立的国有控股企业，拥有员工2300多名，研发人员超过50%。至今已有20年的发展历史，是中国移动的控股子公司，主要探索IT信息化、ICT、Internet领域的业务。业务覆盖全国30余个省市，在北京、广州、深圳、杭州、上海、南京、成都等地设有分公司或办事处，为客户提供完备的技术和运营支持。"
